iteracion_bayesiana,E1000_c,E1002_c,E5001_c,E5002_c,E5003_c,E5005_c,E5007_c,E5008_c,E5009_c,E5010_c,E5011_c,E5012_c,E5013_c,E5014_c,E5015_c,E5016_c,E5017_c,E5018_c,E5019_c,E5020_c,E5021_c,E5022_c,E5023_c,E5024_c,E5025_c,E5026_c,E5027_c,E5028_c,E5029_c,E5030_c,E5031_c,E5032_c,E5033_c,E5034_c,E5035_c,E5037_c,E5038_c,E5040_c,E1001_a,E1002_a,E1004_a,E1005_a,E1006_a,E1007_a,E1010_a,E1011_a,E1012_a,E1013_a,E1014_a,E1015_a,E1016_a,E1017_a
1,4990000,5683750,4715000,4961250,5476250,5710000,5460000,5151250,6162500,5856250,6111250,6065000,6052500,5903750,6121250,6121250,5971250,5948750,5500000,5695000,5701250,5198750,5712500,4583750,6658750,6356250,5686250,6243750,5696250,6162500,6468750,5705000,6033750,6560000,3733750,4046250,6800750,6663250,5267500,4660000,5480000,5055000,5397500,5721250,6587500,5338750,5955000,6315000,5683750,6208750,6826250,6303750
2,5256250,4918750,4726250,4761250,5372500,5336250,5211250,5083750,6012500,6042500,6061250,6077500,6085000,6110000,5831250,5831250,5897500,5926250,5731250,5835000,5423750,5352500,5480000,5127500,6466250,6006250,6125000,6300000,6265000,6068750,5931250,5657500,6720000,5985000,3930000,4426250,6872000,6756625,5115000,4833750,5438750,5465000,4925000,5810000,6170000,5537500,5888750,5965000,5735000,5608750,6568750,6521250
3,4686250,4386250,4381250,4363750,5595000,4857500,5271250,5087500,6246250,5953750,5966250,5753750,6195000,6038750,5948750,5948750,5733750,5561250,5856250,5945000,5598750,4643750,5253750,5068750,6110000,6457500,6210000,6275000,6020000,5631250,6506250,5885000,5912500,6002500,3640000,4120000,6446750,6797375,4527500,4578750,4926250,4416250,5007500,6078750,5568750,4803750,5770000,5473750,5792500,6143750,6811250,5336250
4,5387500,4778750,4633750,4676250,4901250,4575000,4691250,5242500,5925000,5737500,5713750,5935000,5817500,6100000,5960000,5960000,5627500,6091250,6440000,4948750,5508750,5558750,5235000,4920000,6238750,6367500,5901250,6156250,6582500,6177500,5956250,5806250,5873750,6010000,4173750,4125000,6738000,6766500,5082500,5133750,5140000,5411250,4568750,5818750,5878750,5822500,5547500,5478750,5441250,5525000,6417500,5900000
5,4418750,5161250,4853750,4487500,5828750,5563750,5491250,5880000,6352500,5760000,5913750,5615000,5815000,5998750,6071250,6071250,5818750,5635000,5412500,5320000,5325000,5677500,5215000,4721250,6246250,6328750,6257500,6333750,6476250,5765000,6200000,6028750,5816250,6410000,3795000,3895000,6603875,6109125,4881250,4890000,5768750,5355000,5020000,5587500,5992500,5883750,6021250,5877500,6141250,6086250,6548750,6150000
6,5222500,5226250,5475000,4957500,5401250,5248750,5010000,6046250,6081250,5966250,6043750,5956250,6227500,5896250,5516250,5516250,5893750,5703750,5697500,5682500,5576250,4945000,4886250,5216250,6305000,6211250,6238750,5913750,6325000,5972500,6381250,6223750,6330000,6471250,3986250,4111250,6356500,6343875,4856250,4587500,5456250,5170000,5127500,6001250,5893750,5385000,5598750,5903750,5772500,5952500,6810000,6565000
7,5966250,5172500,5498750,5066250,5538750,5005000,5118750,5140000,6281250,6277500,6337500,6141250,5840000,6086250,5713750,5713750,5887500,5282500,5690000,5382500,5503750,5472500,5106250,4742500,6376250,6253750,5913750,6422500,6247500,5708750,6392500,5803750,5553750,6281250,3791250,4023750,6850750,6744125,5096250,5386250,5323750,5531250,4928750,6138750,6393750,5323750,5720000,5653750,5805000,6291250,6352500,5762500
8,5238750,5350000,4657500,4851250,6081250,5768750,5388750,5822500,6295000,5773750,5932500,6058750,6035000,5871250,6036250,6036250,5732500,6172500,5723750,5545000,5557500,5127500,5083750,5507500,6531250,6246250,6568750,6085000,5971250,5625000,6127500,6542500,6177500,5783750,3996250,4276250,6450000,6257750,5238750,5080000,5698750,5125000,4868750,5695000,5915000,5612500,5578750,5820000,5601250,5973750,6281250,6162500
9,5487500,5540000,4793750,5278750,6037500,5898750,6345000,6027500,6577500,6127500,5935000,5817500,5900000,6023750,5958750,5958750,5828750,5486250,5436250,5798750,5506250,5290000,5313750,5527500,6845000,6411250,6615000,5973750,5730000,5882500,6210000,5867500,6111250,6006250,3625000,3992500,6333750,5423125,5277500,5236250,5738750,4726250,4875000,5516250,6760000,5388750,5828750,5421250,5910000,5606250,6606250,6268750
10,4665000,5307500,5311250,4893750,5587500,6017500,5328750,5447500,6107500,5757500,5933750,5847500,6051250,5882500,6042500,6042500,6043750,5452500,5306250,5273750,5606250,5238750,5293750,4597500,6470000,5963750,6457500,6205000,5587500,6298750,6290000,5885000,6016250,6348750,3825000,4042500,6523750,6544625,5417500,4832500,5350000,5102500,5103750,6107500,6300000,4687500,5630000,5751250,5926250,6517500,6628750,5500000
11,5681250,5776250,5241250,5620000,5261250,5421250,5611250,5923750,6438750,5971250,6155000,5832500,6021250,5962500,5845000,5845000,6285000,5761250,6012500,5282500,5457500,5371250,5032500,5248750,6213750,6463750,6836250,6192500,6458750,5978750,,6356250,6538750,6346250,3775000,4030000,5301375,6108750,5800000,5680000,5500000,5108750,5452500,5647500,6237500,4902500,5945000,5465000,5652500,6075000,6182500,6351250
12,4903750,4845000,5975000,4843750,5185000,5036250,5053750,5486250,6557500,5852500,5967500,5733750,5608750,5975000,5895000,5895000,6071250,5458750,5272500,5886250,5060000,4433750,5538750,5081250,6618750,5900000,5697500,6148750,5883750,5801250,,6453750,5870000,5877500,3865000,3997500,6800625,6657000,4941250,4925000,4741250,5377500,5230000,5837500,5950000,5666250,5937500,5608750,5515000,5912500,6157500,6845000
13,5362500,5960000,5365000,5596250,4971250,5392500,5882500,5573750,6308750,5850000,5921250,5840000,6316250,6313750,5888750,5888750,5681250,5708750,6050000,6057500,5556250,5590000,5056250,5043750,6861250,6353750,6348750,6433750,6325000,6020000,,6022500,5211250,5637500,3805000,4181250,6470750,6946875,5335000,5380000,5321250,4697500,5627500,5806250,5882500,5818750,5913750,6307500,5710000,5888750,6763750,6813750
14,4943750,4966250,4871250,5048750,4561250,4652500,4641250,4613750,6500000,5816250,5828750,5593750,6016250,5996250,6302500,6302500,6290000,5548750,5192500,5818750,5383750,4875000,5428750,4535000,6696250,6230000,6432500,6416250,6116250,5860000,,5760000,5778750,6467500,3831250,4107500,6572375,6420625,5257500,4401250,5205000,5081250,5105000,5553750,5842500,4945000,5463750,5387500,5626250,6190000,6380000,5115000
15,4533750,5576250,5786250,4636250,5136250,5952500,5228750,4790000,6283750,5665000,5803750,5806250,5807500,5466250,5837500,5837500,5668750,6455000,6473750,5793750,5286250,5178750,5283750,5467500,6422500,6091250,5662500,5607500,6171250,6151250,,5943750,5598750,6536250,3453750,4105000,6446375,6312125,5026250,4845000,5075000,5793750,5348750,5862500,6145000,5450000,5696250,5676250,6006250,5562500,6993750,6001250
16,4748750,4495000,4475000,4528750,4955000,5797500,5058750,5677500,6463750,5996250,5771250,5702500,5982500,5851250,5817500,5817500,5728750,4623750,5287500,5360000,5136250,5055000,4733750,4597500,6501250,6558750,5710000,5823750,5242500,5892500,,5653750,5892500,5751250,3736250,4147500,6448375,5563875,5270000,4536250,5136250,5002500,5168750,6045000,6181250,5230000,5993750,5511250,5571250,5891250,6543750,5033750
17,4966250,5646250,5347500,5411250,5348750,"5,00E+06",6250000,5958750,6236250,5673750,6247500,5872500,6301250,6212500,5255000,5255000,5706250,5661250,6173750,5701250,5633750,5640000,5262500,5532500,6101250,6443750,6427500,6350000,6241250,6082500,,5726250,5596250,6270000,4137500,4200000,6914500,6381875,4816250,5022500,5368750,5207500,5185000,6108750,6126250,5278750,5987500,5775000,5457500,6211250,6572500,6277500
18,4878750,5815000,4582500,5283750,5357500,5686250,5316250,5636250,6318750,6113750,6101250,5717500,6061250,6226250,6092500,6092500,5986250,5950000,5775000,5830000,5722500,5702500,5050000,5628750,6398750,6607500,5738750,6210000,6033750,5621250,,6302500,5972500,6411250,3595000,3766250,6807250,6474750,4652500,5651250,5542500,4781250,5591250,5942500,6455000,5801250,5822500,6357500,5685000,5642500,6728750,6332500
19,5640000,6045000,4645000,5041250,5272500,5116250,5217500,5870000,5971250,5848750,6101250,5625000,6397500,6178750,5725000,5725000,6036250,5220000,5796250,5758750,5506250,5531250,5033750,4920000,6558750,6278750,6218750,6212500,5898750,5558750,,5768750,5620000,5953750,3862500,3975000,7068500,6236250,5453750,5293750,4930000,5011250,5410000,5950000,6120000,5026250,6057500,6421250,5442500,5725000,6405000,6416250
20,4668750,5787500,5362500,4935000,4828750,5721250,5476250,5595000,6027500,5968750,5885000,5723750,5448750,5848750,6417500,6417500,5921250,5192500,5660000,5397500,5388750,5721250,5287500,4988750,6556250,6565000,6408750,6178750,6268750,6197500,,5796250,5595000,6040000,3828750,4176250,6813250,6629625,5347500,5481250,5236250,5512500,5608750,5771250,5880000,5402500,5677500,6051250,5760000,6160000,6618750,5956250
21,5082500,5441250,4920000,5045000,6270000,6210000,5290000,5311250,6353750,6083750,5832500,5790000,5917500,6106250,5912500,5912500,5835000,5765000,5606250,5892500,5287500,5691250,5251250,5110000,6293750,6157500,6116250,6435000,5716250,5732500,,6213750,6338750,6705000,4096250,3841250,6981625,6930875,4780000,5323750,4876250,5435000,5632500,6105000,6183750,4882500,5485000,6081250,5755000,5861250,6598750,5271250
22,5373750,5922500,5907500,4511250,5607500,6062500,5355000,5780000,6666250,5730000,5770000,6140000,5725000,6341250,5811250,5811250,5526250,5560000,5083750,6013750,5270000,5795000,5788750,5360000,6338750,6235000,5482500,6273750,6161250,6256250,,6420000,5798750,5922500,3903750,4195000,7027250,7055375,4893750,5396250,5275000,5200000,5225000,6150000,6200000,5102500,5718750,5748750,5675000,6150000,6867500,6067500
23,4906250,5297500,5385000,5180000,4748750,5606250,5360000,5716250,6572500,6088750,5803750,6166250,6116250,6282500,6248750,6248750,5835000,5407500,5211250,5543750,5630000,5661250,5185000,4646250,6556250,6287500,6590000,6330000,5713750,5703750,,5902500,5848750,5568750,3670000,4057500,6890375,6720000,4970000,5407500,5333750,5007500,5318750,5905000,6015000,5271250,5937500,5932500,5250000,6135000,6656250,5755000
24,4840000,5891250,5660000,5677500,4840000,4827500,4350000,5877500,6351250,5973750,5750000,5806250,6101250,5806250,5630000,5630000,5851250,5142500,5421250,5545000,5640000,5612500,5626250,5168750,6765000,6325000,6642500,6302500,6161250,5666250,,6093750,5928750,6272500,3856250,3983750,6897000,6765500,5582500,5220000,5426250,5441250,4711250,5621250,6080000,4837500,5773750,6385000,5897500,5802500,6701250,5385000
25,5263750,5500000,5322500,4776250,5113750,5290000,5501250,5590000,6413750,5836250,5923750,6216250,6288750,5932500,5898750,5898750,5436250,5733750,5091250,5716250,5522500,5015000,5535000,5207500,6520000,6343750,6696250,6455000,5476250,6080000,,6182500,6056250,5171250,3483750,4211250,6383375,6960750,5280000,5511250,4927500,5680000,5755000,5812500,6406250,4876250,5520000,6181250,5751250,6443750,6608750,5756250
26,5106250,5121250,4950000,5122500,5565000,5400000,,4870000,6371250,5823750,5963750,5872500,5810000,6003750,5553750,5553750,5603750,5358750,6078750,5387500,5446250,5862500,5288750,4585000,6298750,6143750,6096250,6228750,5627500,5826250,,6133750,6083750,5992500,3850000,4072500,6969625,6909875,5333750,5133750,5227500,5955000,5025000,6063750,6476250,5188750,5776250,5643750,5717500,5161250,6350000,6156250
27,5135000,5321250,5456250,4888750,4600000,5881250,,5595000,6002500,5847500,6548750,5817500,5795000,5717500,5912500,5912500,6021250,6048750,5558750,5581250,5487500,5082500,5048750,5360000,6226250,6373750,6417500,6370000,6296250,5986250,,6530000,6726250,5693750,3667500,4026250,7138375,6883375,5052500,5031250,5220000,5210000,5223750,5568750,5641250,4840000,6202500,5420000,5620000,5717500,6755000,5845000
28,4622500,5121250,4913750,5287500,5917500,4741250,,4811250,6425000,6041250,6082500,5965000,6035000,5703750,5832500,5832500,6060000,5925000,5513750,5318750,5562500,5680000,5323750,5106250,6675000,6116250,5957500,6275000,5836250,5433750,,5476250,6250000,6503750,3556250,4415000,6836750,6984375,5187500,5002500,5226250,5431250,5568750,5722500,5965000,5380000,5890000,5690000,5935000,6030000,6741250,6052500
29,4473750,4772500,5351250,5263750,5248750,5052500,,5237500,6115000,5495000,6177500,5988750,6093750,6200000,5827500,5827500,5657500,5855000,5298750,5277500,5267500,5482500,5397500,4646250,6465000,6561250,6362500,6386250,6386250,6082500,,5753750,6392500,6023750,3822500,4036250,6922750,6867875,4895000,4430000,4885000,5582500,5336250,5593750,5391250,5482500,5612500,5755000,5996250,5303750,6335000,5060000
30,5612500,4976250,5450000,4903750,5483750,5407500,,5872500,6108750,5908750,5881250,6087500,5940000,6162500,5322500,5322500,5858750,5676250,5571250,5288750,5623750,5831250,5281250,4771250,6446250,6625000,6061250,6107500,5895000,6200000,,5516250,6045000,5967500,3557500,4350000,6889625,6893625,4595000,5103750,5095000,5231250,5368750,5721250,6581250,4748750,5947500,5690000,5663750,5588750,6683750,6102500
31,4901250,5193750,5070000,4561250,4843750,5657500,,4853750,6597500,5823750,6220000,5682500,6012500,6028750,5857500,5857500,5735000,5590000,5843750,5447500,5245000,5581250,5612500,5055000,6282500,6226250,6542500,6337500,6537500,6240000,,6165000,5963750,6032500,3783750,4036250,6774250,6733375,5288750,5141250,5208750,5678750,4791250,6095000,5523750,4970000,6155000,5530000,5532500,6170000,6626250,6352500
32,5481250,5413750,4850000,5367500,5917500,5788750,,5585000,6647500,5568750,5930000,6087500,5512500,6120000,6075000,6075000,5546250,5511250,6058750,5717500,5472500,5235000,5451250,5092500,6902500,6065000,6535000,6415000,4953750,5805000,,5985000,6141250,6333750,3721250,4223750,6741125,6838500,5347500,5048750,5183750,4975000,5375000,5981250,6320000,5308750,5977500,5567500,5708750,5583750,6567500,5740000
33,5545000,4958750,4833750,5460000,4667500,5853750,,5723750,5803750,5792500,5733750,5957500,6346250,6001250,5773750,5773750,5830000,5690000,6466250,5608750,5737500,5752500,5122500,5311250,6343750,6431250,6501250,6211250,6700000,5695000,,5912500,5905000,5983750,3861250,4105000,6638375,6983250,5213750,5315000,5620000,4865000,5200000,5836250,6340000,4937500,5406250,5870000,5985000,5571250,7211250,6458750
34,5246250,4540000,5802500,4942500,4392500,5406250,,5455000,6425000,6141250,6051250,5817500,5815000,5846250,6183750,6183750,5833750,6090000,5366250,5708750,5391250,5678750,5745000,5207500,6732500,6575000,5663750,5990000,,6347500,,6515000,5985000,6660000,3908750,4152500,6841000,6659375,4927500,5256250,5152500,5252500,4910000,5911250,5682500,5767500,5942500,5662500,5980000,5806250,6300000,5963750
35,5930000,5211250,5202500,5320000,5405000,4913750,,5437500,6322500,5585000,5806250,5761250,5313750,6496250,5686250,5686250,5658750,6263750,5707500,5225000,5507500,5845000,5463750,5235000,6497500,5972500,5777500,6348750,,5670000,,5865000,5732500,6151250,3953750,3745000,6778250,6833500,5031250,5470000,4858750,5685000,5175000,5578750,6380000,5641250,5735000,5381250,5878750,5906250,6507500,6520000
36,5253750,5617500,5021250,5385000,5780000,5812500,,5627500,6273750,5732500,5777500,5792500,5658750,5527500,5786250,5786250,5791250,5663750,5751250,5786250,5588750,5348750,5223750,4940000,6398750,6477500,6582500,5597500,,5652500,,6200000,6168750,6797500,3447500,4085000,6763875,6983750,5170000,5277500,5492500,4765000,5427500,5796250,6190000,5556250,5701250,5557500,5648750,5516250,6501250,"5,00E+06"
37,4871250,5336250,4676250,4988750,5665000,,,4943750,6191250,5808750,6173750,5768750,,5880000,5885000,5885000,5601250,6175000,6147500,5285000,5703750,5850000,5520000,5812500,6481250,6165000,6107500,6380000,,5635000,,6451250,6422500,6633750,4002500,4310000,6914250,6375125,5500000,5365000,5041250,5582500,5903750,5561250,6158750,5248750,6113750,5681250,5907500,5485000,7190000,6571250
38,5280000,5562500,5561250,5526250,4950000,,,5246250,6240000,5610000,5986250,5865000,,6198750,5763750,5763750,5252500,6082500,5748750,5676250,5682500,5512500,5238750,4510000,6635000,6258750,6175000,6417500,,5760000,,5250000,6656250,5685000,3948750,3700000,6245625,7034125,5218750,4936250,5087500,5446250,4540000,5875000,6015000,5336250,5873750,5747500,5562500,6060000,6527500,6422500
39,5536250,5400000,5657500,4817500,5793750,,,5532500,5911250,5562500,5847500,6063750,,5992500,5707500,5707500,5641250,5422500,5835000,5490000,5745000,5663750,5453750,5570000,6533750,6695000,6222500,6018750,,5547500,,6120000,5560000,6125000,3941250,3986250,6579250,6857375,4921250,4978750,5358750,5728750,5196250,5661250,6222500,4915000,5768750,6151250,6006250,5847500,7032500,6491250
40,5315000,5171250,5096250,5342500,5898750,,,5581250,6750000,5810000,5722500,5578750,,5792500,6073750,6073750,6105000,6446250,5315000,5662500,5352500,5698750,5197500,4598750,6905000,6421250,6436250,6261250,,6210000,,5902500,6015000,6491250,3573750,3611250,6390750,6668000,5182500,5567500,4693750,4941250,5377500,5743750,5868750,4977500,5896250,5791250,5817500,6365000,6547500,6200000
41,5128750,5248750,5482500,5548750,5782500,,,5561250,6218750,6118750,6271250,6143750,,6337500,5993750,5993750,5921250,6173750,6371250,5600000,5587500,5475000,5505000,4683750,6453750,6430000,6195000,6207500,,5881250,,6262500,6137500,5468750,3778750,4307500,6681500,6996750,5280000,4690000,5498750,5007500,5121250,5803750,6516250,4291250,5532500,5485000,5556250,6126250,7062500,5593750
42,5047500,5285000,5107500,5238750,5533750,,,5480000,5982500,5926250,6063750,5933750,,6140000,5733750,5733750,5950000,5731250,6167500,5997500,5625000,5570000,5336250,5240000,6486250,6010000,6631250,6176250,,5822500,,5625000,5781250,6355000,3771250,4092500,6782375,6949500,4775000,4825000,4908750,5228750,5283750,6323750,6031250,5110000,5995000,6162500,5682500,5963750,6812500,5657500
43,4566250,5031250,5347500,4807500,5155000,,,6122500,6193750,5916250,6311250,5631250,,6546250,6132500,6132500,5975000,6355000,5803750,5356250,5397500,5588750,5106250,5730000,5985000,6536250,5598750,6253750,,6536250,,5266250,6003750,6450000,3901250,4217500,6918125,6800625,5106250,4881250,4836250,5108750,5623750,6090000,6382500,5095000,5853750,6255000,5806250,5103750,6692500,6415000
44,5553750,5900000,5670000,5121250,5972500,,,5253750,6438750,5760000,6118750,5936250,,5937500,5918750,5918750,5652500,6120000,5401250,6290000,5615000,5857500,5200000,4780000,6566250,6670000,6431250,6128750,,5618750,,6331250,6331250,5883750,4012500,4225000,6705875,6945125,5307500,5048750,5647500,4871250,4526250,5718750,6045000,4907500,5956250,5486250,6003750,5773750,7311250,5726250
45,5366250,4898750,5396250,5525000,5878750,,,5070000,6178750,5806250,6105000,6052500,,5073750,6078750,6078750,5665000,5717500,4938750,5577500,5286250,5703750,5040000,5295000,6170000,6088750,6198750,6210000,,6336250,,6300000,5892500,6303750,3715000,3800000,6167750,6946375,5372500,5330000,5110000,4993750,5212500,5662500,6251250,5513750,5865000,6071250,5555000,5767500,7320000,4361250
46,4557500,5293750,4621250,4696250,4937500,,,5225000,6227500,5603750,5890000,6205000,,6180000,5798750,5798750,5808750,5168750,5918750,5872500,5327500,5342500,5513750,4722500,6205000,6427500,6305000,6093750,,5356250,,6542500,6153750,5986250,3715000,4152500,6261875,7020875,5356250,5161250,5377500,5823750,5226250,6117500,6108750,4650000,6013750,5708750,5865000,5850000,6756250,6358750
47,5141250,5755000,5583750,5038750,5838750,,,5165000,5920000,5695000,6166250,,,5833750,6083750,6083750,6232500,,5565000,5247500,5562500,5620000,5221250,5270000,6827500,6308750,6210000,6290000,,6491250,,5952500,6046250,6143750,3923750,4042500,6833625,6857625,5106250,5442500,5277500,5348750,4848750,5410000,5991250,5476250,6401250,5855000,6363750,6060000,6222500,5862500
48,4957500,5617500,5125000,5247500,5910000,,,5091250,6358750,5845000,5752500,,,5766250,5335000,5335000,5992500,,5801250,5626250,5856250,5328750,5213750,5503750,6142500,6043750,6535000,6441250,,6098750,,6551250,5987500,6112500,3791250,3962500,6762500,6622125,4868750,4745000,5270000,5557500,5168750,5866250,6328750,5252500,5963750,5383750,5536250,6183750,6573750,5687500
49,4555000,5250000,5731250,4213750,5306250,,,5342500,6125000,5845000,6111250,,,5763750,5905000,5905000,5452500,,5785000,5577500,5297500,5346250,5291250,5501250,6262500,6587500,6151250,6150000,,6186250,,5413750,5647500,6378750,3876250,4092500,6756625,6529750,4896250,5090000,5248750,5193750,4620000,5817500,5837500,4988750,5592500,5893750,5595000,6046250,6577500,6311250
50,5306250,5651250,5170000,5087500,5730000,,,4912500,6312500,5905000,5932500,,,6336250,5493750,5493750,5790000,,5221250,5431250,5428750,4973750,4880000,5076250,6512500,6413750,6233750,6252500,,5892500,,5928750,6073750,6207500,3953750,4157500,6038250,6920375,5512500,5781250,4947500,5363750,5202500,6038750,6200000,4833750,5806250,6053750,4985000,5293750,6291250,6201250
51,4318750,4462500,4930000,4880000,5637500,,,5293750,6288750,5606250,5580000,,,6157500,6217500,6217500,5703750,,4981250,5385000,5637500,5037500,5170000,5425000,6328750,6146250,6347500,6397500,,5782500,,6388750,6050000,6341250,3808750,4150000,6640125,6996125,5127500,4807500,5437500,5386250,5218750,5765000,6016250,5296250,5998750,5672500,5188750,5886250,6570000,5966250
52,4687500,5312500,4775000,4303750,5182500,,,5860000,5936250,5657500,5936250,,,6142500,5932500,5932500,5777500,,5568750,5348750,5356250,5325000,5035000,5537500,6253750,6137500,6047500,5955000,,6358750,,5660000,5948750,6242500,4105000,3966250,6726625,6901000,5056250,4817500,5272500,5321250,5180000,6131250,5960000,4645000,6011250,5907500,5816250,6133750,6892500,6192500
53,4992500,5565000,4825000,5201250,5462500,,,5661250,6293750,5865000,5972500,,,6251250,5893750,5893750,5665000,,5638750,5170000,5575000,5511250,5717500,4633750,6427500,6163750,6112500,6127500,,5595000,,6027500,6147500,5598750,3731250,4166250,6695375,6849000,5238750,5366250,5186250,5132500,5180000,6058750,5387500,5657500,5871250,5681250,5723750,6180000,6886250,6671250
54,4856250,4943750,5671250,5201250,5771250,,,6063750,6193750,5718750,5803750,,,6021250,5661250,5661250,5960000,,5466250,5430000,5397500,5247500,5088750,5641250,6542500,6460000,6365000,6207500,,6308750,,6066250,6045000,5951250,3662500,4096250,6837375,7060875,4611250,4881250,5275000,5335000,5167500,5873750,6013750,5405000,5366250,5827500,5696250,5790000,6747500,6018750
55,4572500,5522500,5045000,4928750,4842500,,,5205000,6271250,,5915000,,,5948750,5811250,5811250,5981250,,6275000,5365000,5553750,4970000,5176250,5418750,6425000,6272500,5583750,6353750,,6182500,,6036250,6047500,6708750,3821250,3993750,6973250,6862125,5011250,5011250,5531250,5252500,5215000,5795000,5892500,4873750,5666250,5638750,6068750,5557500,6100000,6482500
56,5181250,5726250,5140000,4715000,5001250,,,5298750,6260000,,6113750,,,6068750,5906250,5906250,5536250,,5482500,5426250,5120000,5273750,5700000,4447500,6550000,6198750,5338750,6578750,,6021250,,5625000,5411250,6116250,3907500,3791250,6902000,6663375,5476250,4772500,5435000,5807500,5620000,5870000,5862500,4530000,5828750,5853750,5850000,5676250,6548750,5916250
57,5762500,4398750,4717500,4846250,5616250,,,4446250,6407500,,6066250,,,5941250,6060000,6060000,5598750,,5965000,5286250,5405000,5721250,5455000,4553750,6351250,6317500,5571250,6298750,,5592500,,6288750,5873750,6161250,3813750,3910000,6796250,6706125,4452500,4692500,4920000,5308750,4893750,5087500,5765000,5521250,6158750,5721250,5687500,6088750,6991250,5217500
58,5561250,5292500,4658750,5077500,5940000,,,5720000,6147500,,5995000,,,5977500,6161250,6161250,5737500,,5371250,5373750,5476250,5326250,5341250,4736250,6140000,6013750,5881250,5757500,,5371250,,5682500,6185000,6421250,3796250,4255000,6755125,6839875,4855000,4997500,5143750,5280000,5696250,5510000,6206250,4643750,5887500,5505000,5403750,5865000,6696250,5100000
59,5022500,4868750,4840000,5391250,4936250,,,4210000,6135000,,5592500,,,5758750,5910000,5910000,5870000,,6170000,5386250,5151250,5605000,5110000,5248750,6670000,6280000,5422500,6295000,,5716250,,4940000,5823750,6030000,3707500,4288750,6868625,7063375,4712500,4627500,5123750,5012500,4676250,5753750,5997500,5453750,5560000,6147500,5730000,6251250,6827500,6236250
60,4675000,4537500,4980000,4803750,5887500,,,5532500,6190000,,5872500,,,5925000,5618750,5618750,5916250,,5540000,5977500,5561250,5571250,5383750,4605000,6505000,6106250,6232500,6240000,,6211250,,6246250,6167500,5868750,3660000,4108750,6738125,6953750,5163750,5225000,5827500,4462500,5350000,5355000,6082500,5515000,6102500,5502500,5800000,6256250,6493750,5585000
61,5372500,4726250,5213750,5445000,5613750,,,5488750,6238750,,5438750,,,5816250,5958750,5958750,5795000,,5407500,5933750,5348750,4955000,4871250,5336250,6142500,6413750,6341250,6493750,,6058750,,6226250,6185000,6037500,3856250,4198750,7031250,6963625,4587500,4932500,4732500,4545000,4886250,5597500,5421250,4992500,5566250,5215000,6005000,6466250,6802500,6455000
62,5322500,4795000,4267500,4887500,5313750,,,4886250,6146250,,6098750,,,6297500,5871250,5871250,5460000,,5106250,5452500,5422500,5515000,4865000,4616250,6263750,6363750,5655000,5882500,,5616250,,5847500,6180000,6382500,3835000,4290000,7089375,7063625,4956250,5375000,5757500,5626250,5647500,5881250,5923750,5336250,5625000,5746250,5788750,5540000,6581250,6033750
63,5073750,5362500,4590000,4650000,5295000,,,4886250,6488750,,5980000,,,5432500,5537500,5537500,6006250,,5866250,5497500,5056250,5877500,5460000,5338750,6636250,5960000,6663750,6696250,,5808750,,6261250,5713750,6073750,3917500,4230000,6753875,6982125,4541250,5172500,5677500,5368750,5208750,5452500,5747500,4742500,5700000,5407500,5631250,6078750,6722500,6236250
64,4867500,5250000,5262500,4996250,4561250,,,4952500,6103750,,6001250,,,5837500,5610000,5610000,5758750,,5416250,5303750,5731250,4998750,5305000,5427500,6432500,5838750,6233750,6193750,,6078750,,5542500,6372500,5728750,3840000,4180000,6649875,7006750,5036250,5336250,5498750,5520000,5102500,5826250,6296250,5041250,5678750,5737500,5740000,4808750,6701250,6081250
65,5598750,5621250,5517500,5006250,5835000,,,5560000,5887500,,6120000,,,5807500,5833750,5833750,5820000,,5495000,5870000,5545000,5838750,5347500,5545000,6216250,6643750,6271250,6155000,,6237500,,5776250,5825000,5933750,3920000,4011250,6915000,6955500,,4273750,4848750,5120000,4990000,6108750,5411250,4741250,5603750,5920000,5832500,5795000,6271250,6208750
66,5258750,5332500,5517500,5018750,5748750,,,5921250,6091250,,6052500,,,6351250,5765000,5765000,5732500,,5245000,5627500,5220000,5131250,5382500,4552500,6468750,6111250,6146250,5957500,,5553750,,5997500,5907500,6192500,3837500,4043750,7010875,6758625,,4595000,5408750,4618750,4615000,5972500,5908750,4703750,5861250,5531250,5756250,6092500,6401250,6123750
67,5438750,5093750,5271250,5126250,4617500,,,5667500,6177500,,6035000,,,5697500,5450000,5450000,5723750,,5510000,5486250,5426250,5731250,5138750,5425000,6152500,6332500,6355000,6588750,,5386250,,5930000,5732500,5937500,3666250,4006250,6853125,5822125,,4867500,5715000,5147500,5426250,5336250,5748750,4755000,6006250,5485000,5680000,6370000,6348750,5365000
68,5006250,5056250,4370000,4816250,5396250,,,5163750,6148750,,5782500,,,6171250,5747500,5747500,5496250,,5175000,5667500,5581250,5226250,4870000,5620000,6337500,6402500,5805000,6548750,,5718750,,6522500,6078750,6162500,3682500,4161250,6936125,7003375,,4730000,5027500,5615000,4795000,6003750,6132500,4987500,5111250,6095000,5316250,6193750,6482500,5870000
