iteracion_bayesiana,E1000_c,E1002_c,E5001_c,E5002_c,E5003_c,E5005_c,E5007_c,E5008_c,E5009_c,E5010_c,E5011_c,E5012_c,E5013_c,E5014_c,E5015_c,E5016_c,E5017_c,E5018_c,E5019_c,E5020_c,E5021_c,E5022_c,E5023_c,E5024_c,E5025_c,E5026_c,E5027_c,E5028_c,E5029_c,E5030_c,E5031_c,E5032_c,E5033_c,E5034_c,E5035_c,E5037_c,E5038_c,E5040_c,E1001_a,E1002_a,E1004_a,E1005_a,E1006_a,E1007_a,E1010_a,E1011_a,E1012_a,E1013_a,E1014_a,E1015_a,E1016_a,E1017_a
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6086250,,,,,,,,5348750,4490000,5906250,,,,,,,,6305000
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6122500,,,,,,,,4795000,5092500,6083750,,,,,,,,5802500
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5560000,,,,,,,,5562500,5692500,5558750,,,,,,,,5288750
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5731250,,,,,,,,5568750,5775000,5486250,,,,,,,,6412500
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5881250,,,,,,,,5072500,5216250,5987500,,,,,,,,6290000
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6242500,,,,,,,,4745000,5230000,5643750,,,,,,,,5935000
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6088750,,,,,,,,5738750,5061250,5847500,,,,,,,,5493750
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6456250,,,,,,,,5047500,4427500,5577500,,,,,,,,6138750
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6102500,,,,,,,,5212500,4856250,5711250,,,,,,,,6188750
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5436250,,,,,,,,4880000,5157500,5673750,,,,,,,,6240000
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5673750,,,,,,,,5391250,5133750,5371250,,,,,,,,5991250
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6792500,,,,,,,,5415000,4908750,5425000,,,,,,,,6033750
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5992500,,,,,,,,4945000,5655000,5713750,,,,,,,,6277500
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5810000,,,,,,,,5135000,5411250,5860000,,,,,,,,5538750
